service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
934,20090823,20091205,0,0,1,0,0,0,0
911,20090823,20091205,1,1,1,1,1,0,0
915,20090823,20091205,0,0,0,0,1,0,0
925,20090823,20091205,1,0,1,0,1,0,0
920,20090823,20091205,0,0,0,0,0,0,0
921,20090823,20091205,1,1,1,1,1,0,0
935,20090823,20091205,0,0,0,0,0,1,0
797,20090803,20090822,1,1,1,1,1,0,0
796,20090803,20090822,0,0,1,1,0,0,0
795,20090803,20090822,0,0,0,0,0,0,0
794,20090803,20090822,0,0,1,0,0,0,0
793,20090803,20090822,1,1,0,1,1,0,0
792,20090803,20090822,1,1,1,1,1,0,0
791,20090803,20090822,0,0,0,0,0,0,0
790,20090803,20090822,0,0,0,0,1,0,0
914,20090823,20091205,1,1,0,1,0,0,0
924,20090823,20091205,0,0,0,0,0,0,0
926,20090823,20091205,1,0,1,1,1,0,0
799,20090803,20090822,1,1,1,1,1,0,0
798,20090803,20090822,1,1,1,1,1,0,0
938,20090823,20091205,0,0,0,0,0,0,0
919,20090823,20091205,0,0,0,0,0,0,0
918,20090823,20091205,1,1,1,1,0,0,0
810,20090803,20090822,1,1,1,1,1,0,0
811,20090803,20090822,1,0,1,1,1,0,0
812,20090803,20090822,0,0,1,0,0,0,0
813,20090803,20090822,1,0,1,0,1,0,0
814,20090803,20090822,1,1,0,1,1,0,0
815,20090803,20090822,0,1,0,1,0,0,0
816,20090803,20090822,0,1,0,0,0,0,0
817,20090803,20090822,0,0,0,0,0,1,0
917,20090823,20091205,0,0,0,0,0,0,0
927,20090823,20091205,0,1,0,1,0,0,0
922,20090823,20091205,0,0,1,1,0,0,0
933,20090823,20091205,1,1,0,1,1,0,0
923,20090823,20091205,0,0,0,0,0,0,1
912,20090823,20091205,1,1,1,1,1,0,0
932,20090823,20091205,0,0,0,0,0,0,1
931,20090823,20091205,0,0,1,0,0,0,0
930,20090823,20091205,0,0,0,0,0,1,0
916,20090823,20091205,1,1,0,0,1,0,0
937,20090823,20091205,0,0,1,0,1,0,0
908,20090823,20091205,1,1,1,1,1,0,0
909,20090823,20091205,1,0,0,0,0,0,0
788,20090803,20090822,0,0,1,0,1,0,0
789,20090803,20090822,0,0,0,0,0,0,0
936,20090823,20091205,1,1,0,1,1,0,0
928,20090823,20091205,0,0,0,0,1,0,0
929,20090823,20091205,0,1,0,0,0,0,0
809,20090803,20090822,0,0,0,0,0,0,0
808,20090803,20090822,0,0,0,0,0,0,0
913,20090823,20091205,0,0,0,0,0,0,0
910,20090823,20091205,0,0,0,0,0,0,0
803,20090803,20090822,0,0,0,0,0,0,0
802,20090803,20090822,0,0,0,0,1,0,0
801,20090803,20090822,1,1,1,1,0,0,0
800,20090803,20090822,0,0,0,0,0,0,0
807,20090803,20090822,1,1,0,0,1,0,0
806,20090803,20090822,1,0,0,0,0,0,0
805,20090803,20090822,1,1,0,1,0,0,0
804,20090803,20090822,0,0,0,0,0,0,1
