service_id,date,exception_type
934,20091007,2
934,20091111,2
911,20090907,2
911,20091111,2
911,20091012,2
911,20091126,2
915,20091127,2
915,20091009,2
925,20090907,2
925,20091111,2
925,20091009,2
925,20091127,2
925,20091005,2
925,20091007,2
920,20091012,1
921,20090907,2
921,20091111,2
921,20091008,2
921,20091009,2
921,20091005,2
921,20091127,2
921,20091126,2
921,20091006,2
921,20091007,2
935,20091111,1
797,20090821,2
793,20090821,2
792,20090821,2
790,20090821,2
914,20091005,2
914,20091126,2
914,20091006,2
914,20091008,2
914,20090907,2
924,20091126,1
926,20090907,2
926,20091111,2
926,20091126,2
799,20090821,2
798,20090821,2
938,20091008,1
938,20091009,1
938,20091127,1
938,20091005,1
938,20091006,1
938,20091007,1
919,20091008,1
919,20091009,1
919,20091127,1
919,20091005,1
919,20091006,1
919,20091007,1
918,20090907,2
918,20091111,2
918,20091126,2
810,20090821,2
811,20090821,2
813,20090821,2
814,20090821,2
917,20091127,1
917,20091005,1
917,20091006,1
917,20091008,1
917,20091009,1
927,20091126,2
927,20091006,2
927,20091008,2
922,20091126,2
922,20091007,2
922,20091008,2
922,20091111,2
933,20090907,2
933,20091008,2
933,20091009,2
933,20091126,2
933,20091127,2
933,20091005,2
933,20091006,2
923,20090907,1
923,20091126,1
912,20090907,2
912,20091111,2
912,20091008,2
912,20091009,2
912,20091005,2
912,20091127,2
912,20091126,2
912,20091006,2
912,20091007,2
932,20090907,1
931,20091007,2
931,20091111,2
930,20091111,1
916,20091127,2
916,20090907,2
916,20091006,2
916,20091009,2
916,20091005,2
937,20091127,2
937,20091007,2
937,20091009,2
937,20091111,2
908,20090907,2
908,20091111,2
908,20091126,2
909,20090907,2
909,20091005,2
788,20090821,2
789,20090821,1
936,20090907,2
936,20091008,2
936,20091009,2
936,20091126,2
936,20091127,2
936,20091005,2
936,20091006,2
913,20091007,1
802,20090821,2
807,20090821,2
