block_id,route_id,direction_id,trip_headsign,service_id,trip_id
a_43203,2,0,SCHOOL STREET - Middle Street,804,228055
a_43326,6,0,PAUOA VALLEY,804,228054
a_43173,1,0,KALIHI TRANSIT CENTER,804,228057
a_43236,4,0,NUUANU - Dowsett Avenue via UH Manoa,804,228056
a_43351,23,1,WAIKIKI,804,228051
a_43229,3,0,SALT LAKE,804,228050
a_43225,116,1,UPPER AINA HAINA,804,228053
a_43347,22,0,WAIPAHU,804,228052
a_43324,36,1,HONOLULU- Ala Moana Center,804,228059
a_43224,104,0,HAWAII KAI PARK & RIDE,804,228058
b_49224,3,1,RUGER - Koko Head Avenue,930,295095
b_49274,88,0,WAIPAHU TRANSIT CENTER,930,295094
b_48456,27,0,KAPOLEI TRANSIT CENTER,908,291288
b_48799,23,1,WAIKIKI,908,291289
b_48349,102,0,AALA PARK - Limited Stops,908,291280
a_42583,1,1,KAHALA MALL,792,222224
b_48496,115,1,MILILANI via Kuahelani,908,291282
b_48455,68,0,MAKAHA TOWERS,908,291283
b_48545,34,1,KANEOHE - Circle Island,908,291284
b_48473,28,0,EWA BEACH via Arizona Memorial,908,291285
b_48821,109,0,EWA BEACH,908,291286
a_42988,53,0,EXPRESS - Kaneohe - Kailua,792,222225
b_48407,8,0,ALA MOANA CENTER,908,290485
b_48607,43,1,SCHOFIELD via Wahiawa,908,290484
b_49142,103,0,WAIKIKI - Ala Moana Center,929,290487
b_48547,34,1,KANEOHE - Circle Island,908,290486
b_48591,6,1,WOODLAWN DRIVE via East-West Road,908,290481
b_48383,103,0,WAIKIKI - Ala Moana Center,908,290480
b_48774,22,0,WAIPAHU,908,290483
b_48330,16,0,MAKIKI,908,290482
b_48608,44,1,PEARL CITY,908,290489
b_48489,89,0,WAIPAHU TRANSIT CENTER,908,290488
b_48920,12,1,WAIKIKI - Campbell Avenue,923,296889
b_48913,10,1,ALEWA HEIGHTS,923,296888
b_49014,88,0,WAIPAHU TRANSIT CENTER,923,296887
b_49008,29,0,WAIPAHU via H-1 Freeway,923,296886
b_48902,1,0,KALIHI TRANSIT CENTER,923,296885
b_49071,8,0,ALA MOANA CENTER,923,296884
b_49412,28,0,EWA BEACH via Arizona Memorial,932,296883
b_49122,28,0,EWA BEACH,924,296882
b_49015,90,1,WAIPAHU TRANSIT CENTER,923,296881
b_49013,88,1,WAIPAHU TRANSIT CENTER,923,296880
b_48440,81,0,WAIANAE VALLEY,908,290739
b_48611,46,0,HALEIWA,908,290738
b_48612,47,0,WAIMANALO,908,290737
b_48319,13,1,MAUNALANI HEIGHTS,908,290736
b_49421,13,0,SAINT LOUIS HEIGHTS,933,290735
b_49389,13,0,SAINT LOUIS HEIGHTS,931,290734
b_48875,13,0,SAINT LOUIS HEIGHTS,919,290733
b_48401,3,0,SALT LAKE,908,290732
b_48330,16,1,ALA MOANA CENTER,908,290731
b_48541,34,1,KANEOHE - Circle Island,908,290730
b_49060,36,0,KAILUA - Keolu Drive,923,296779
b_49020,113,0,MILILANI MAUKA,923,296778
b_48970,25,1,KALIHI TRANSIT CENTER,923,296771
b_49021,114,0,LAUNANI VALLEY,923,296770
b_48903,1,1,KAHALA MALL,923,296773
b_48942,2,1,WAIKIKI - Kapiolani Park,923,296772
b_49092,23,0,SCHOOL-MIDDLE,923,296775
b_48932,8,1,WAIKIKI BEACH & HOTELS,923,296774
b_49028,34,0,HONOLULU - Ala Moana Center,923,296777
b_49079,9,0,NAVY - Nimitz Gate,923,296776
a_42581,1,1,KAHALA MALL,792,221377
a_43454,30,1,WAIPAHU - Leoku Street,814,221376
a_43441,30,1,WAIPAHU - Leoku Street,812,221375
a_42921,8,1,WAIKIKI BEACH & HOTELS,792,221374
a_42639,16,0,MAKIKI,792,221373
a_43087,22,1,UH MANOA,792,221372
a_42663,2,0,SCHOOL STREET - Middle Street,792,221371
a_43115,23,0,SCHOOL-MIDDLE,792,221370
a_42701,3,0,SALT LAKE,792,221379
a_42923,8,0,ALA MOANA CENTER,792,221378
b_48472,28,0,EWA BEACH via Arizona Memorial,908,288688
b_48650,51,1,EXPRESS - Downtown,908,288689
b_48529,33,1,ALAPAI TRANSIT CENTER via Red Hill,908,288686
b_48447,68,0,MAKAHA TOWERS,908,288687
b_48395,3,0,SALT LAKE,908,288684
b_48283,65,1,EXPRESS - Downtown,908,288685
b_48488,89,1,WAIKELE,908,288682
b_48546,38,0,WAHIAWA HEIGHTS,908,288683
b_48486,88,1,EAST WAIPAHU - Paiwa Street,908,288680
b_48487,88,0,WEST WAIPAHU - Leoku Street,908,288681
a_42830,32,0,PACIFIC PALISADES via Red Hill,792,223201
a_42618,12,1,WAIKIKI - Campbell Avenue,792,223200
a_42798,89,0,WAIPAHU TRANSIT CENTER,792,223203
a_42652,18,0,AIRPORT - HICKAM,792,223202
a_42794,88,0,WAIPAHU TRANSIT CENTER,792,223205
a_42654,1,0,KALIHI TRANSIT CENTER,792,223204
a_42859,34,1,KANEOHE - Circle Island,792,223207
a_42719,24,0,KALIHI TRANSIT CENTER,792,223206
a_42667,2,0,SCHOOL STREET - Middle Street,792,223209
a_42767,84,0,VILLAGES OF KAPOLEI - MAKAKILO HTS,792,223208
b_48439,83,1,NANAKULI,908,289799
b_48513,38,0,WAHIAWA HEIGHTS,908,289798
b_48308,12,1,WAIKIKI - Campbell Avenue,908,289797
b_48532,33,1,ALAPAI TRANSIT CENTER via Red Hill,908,289796
b_48808,40,1,ALA MOANA,908,289795
b_48611,46,1,WAIALUA,908,289794
b_48498,34,0,HONOLULU - Ala Moana Center,908,289793
b_48502,31,0,WAHIAWA - Circle Island,908,289792
b_48594,7,1,KALIHI UKA,908,289791
b_48487,88,0,WAIPAHU TRANSIT CENTER,908,289790
b_48330,16,1,ALA MOANA CENTER,908,292258
b_48799,23,0,SCHOOL-MIDDLE,908,292259
b_48593,7,0,KAMEHAMEHA IV ROAD,908,292256
b_48538,33,0,LOWER PEARL CITY,908,292257
b_48617,8,1,WAIKIKI BEACH & HOTELS,908,292254
b_48573,36,1,KAILUA - Keolu Drive,908,292255
b_48266,1,1,HAWAII KAI,908,292252
b_48643,49,0,EXPRESS - Waipahu,908,292253
b_48778,22,0,WAIPAHU,908,292250
b_48496,115,1,MILILANI via Kuahelani,908,292251
a_42920,47,0,WAIMANALO,792,222558
a_42857,31,1,HONOLULU - Ala Moana Center,792,222559
a_42705,3,0,SALT LAKE,792,222556
a_42912,41,1,LANIKAI,792,222557
a_42590,1,1,KAHALA MALL,792,222554
a_43038,58,0,EXPRESS - Ewa Beach,792,222555
a_42710,3,1,RUGER - Koko Head Avenue,792,222552
a_42594,10,1,ALEWA HEIGHTS,792,222553
a_42795,88,0,WAIPAHU TRANSIT CENTER,792,222550
a_42804,113,0,MILILANI MAUKA,792,222551
b_48440,81,0,WAIANAE VALLEY,908,289249
b_48439,83,1,NANAKULI,908,289248
b_48611,46,1,WAIALUA,908,289241
b_48564,35,1,HONOLULU - Ala Moana Center,908,289240
b_48447,68,1,HONOLULU - Ala Moana Center,908,289243
b_48670,71,1,EXPRESS - Downtown - University,908,289242
b_48424,4,1,WAIKIKI via UH Manoa,908,289245
b_48490,90,1,WAIPAHU TRANSIT CENTER,908,289244
b_48581,36,1,HONOLULU- Ala Moana Center,908,289247
b_48267,116,1,UPPER AINA HAINA,908,289246
b_49192,2,0,SCHOOL STREET - Middle Street,930,293619
b_49281,113,1,MILILANI MAUKA,930,293618
a_43193,8,0,ALA MOANA CENTER,804,227009
a_43369,109,1,WAIKIKI,804,227008
a_43323,36,1,HONOLULU - Ala Moana Center,804,227007
a_43297,38,0,WAHIAWA HEIGHTS,804,227006
a_43181,12,0,LILIHA - Puunui Avenue,804,227005
a_43177,10,0,KALIHI KAI,804,227004
a_43324,36,1,HONOLULU- Ala Moana Center,804,227003
a_43362,40,0,MAKAHA,804,227002
a_43165,1,1,KAHALA MALL,804,227001
a_43284,113,0,MILILANI MAUKA,804,227000
b_49013,88,0,WAIPAHU TRANSIT CENTER,923,297918
b_48918,12,1,WAIKIKI - Campbell Avenue,923,297919
b_49014,88,1,WAIPAHU TRANSIT CENTER,923,297912
b_49016,90,1,WAIPAHU TRANSIT CENTER,923,297913
b_48979,81,0,WAIANAE VALLEY,923,297910
b_49075,8,0,ALA MOANA CENTER,923,297911
b_49009,29,0,WAIPAHU via H-1 Freeway,923,297916
b_49003,28,0,EWA BEACH via Arizona Memorial,923,297917
b_49056,103,1,HAWAII KAI - SEA LIFE PARK,923,297914
b_49015,89,0,WAIPAHU TRANSIT CENTER,923,297915
b_49225,24,1,TRIPLER via Kalihi Transit Center,930,295514
b_49336,7,0,KAMEHAMEHA IV ROAD,930,295515
b_49303,33,0,UPPER PEARL CITY,930,295516
b_49175,14,0,PACIFIC HEIGHTS,930,295517
b_49157,1,1,HAWAII KAI,930,295510
b_49260,28,0,EWA BEACH via Arizona Memorial,930,295511
b_49171,12,1,WAIKIKI - Campbell Avenue,930,295512
b_49375,40,0,MAKAHA,930,295513
b_49325,36,0,KAILUA - WAIMANALO,930,295518
b_49297,32,0,PACIFIC PALISADES via Red Hill,930,295519
a_43576,28,0,EWA BEACH via Arizona Memorial,817,223784
a_43639,35,0,KAILUA - KANEOHE,817,223785
a_43483,12,0,LILIHA - Puunui Avenue,817,223786
a_43599,115,1,MILILANI via Kuahelani,817,223787
a_43596,30,0,EWA VILLAGES - EWA BEACH,817,223780
a_43581,28,1,WAIKIKI BEACH & HOTELS,817,223781
